bn,train_size,test_size,test_loss,test_accuracy
noBN,300,100,2.276285409927368,0.05999999865889549
noBN,3000,1000,1.8193321228027344,0.3659999966621399
noBN,50000,10000,1.1554579734802246,0.5965999960899353
withBN,300,100,2.327216386795044,0.07000000029802322
withBN,3000,1000,3.449476480484009,0.11599999666213989
withBN,50000,10000,0.861099898815155,0.6959999799728394
