bn,train_size,test_size,test_loss,test_accuracy
noBN,300,100,2.295318841934204,0.05999999865889549
noBN,3000,1000,1.9217978715896606,0.31700000166893005
noBN,50000,10000,1.0690064430236816,0.623199999332428
withBN,300,100,2.3230535984039307,0.10000000149011612
withBN,3000,1000,3.144000768661499,0.12300000339746475
withBN,50000,10000,0.8684568405151367,0.6976000070571899
